"id","front","back","f_w","f_h","b_w","b_h","f_size","b_size","issues"
"078","C:\Users\Nicol\musiam-front\src\data\kannon100\078\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\078\back.jpg","726","1072","726","1072","221569","251133",""
"079","C:\Users\Nicol\musiam-front\src\data\kannon100\079\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\079\back.jpg","726","1072","726","1072","227175","254779",""
"080","C:\Users\Nicol\musiam-front\src\data\kannon100\080\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\080\back.jpg","726","1072","726","1072","225740","249086",""
"081","C:\Users\Nicol\musiam-front\src\data\kannon100\081\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\081\back.jpg","726","1072","726","1072","226581","241739",""
"082","C:\Users\Nicol\musiam-front\src\data\kannon100\082\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\082\back.jpg","38","40","38","43","1057","1035","TINY_FRONT|TINY_BACK"
"083","C:\Users\Nicol\musiam-front\src\data\kannon100\083\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\083\back.jpg","726","1072","726","1072","221195","230166",""
"084","C:\Users\Nicol\musiam-front\src\data\kannon100\084\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\084\back.jpg","726","1072","726","1072","215716","236980",""
"085","C:\Users\Nicol\musiam-front\src\data\kannon100\085\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\085\back.jpg","726","1072","726","1072","212795","232176",""
"086","C:\Users\Nicol\musiam-front\src\data\kannon100\086\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\086\back.jpg","726","1072","726","1072","222281","245431",""
"087","C:\Users\Nicol\musiam-front\src\data\kannon100\087\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\087\back.jpg","726","1072","726","1072","208885","230078",""
"088","C:\Users\Nicol\musiam-front\src\data\kannon100\088\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\088\back.jpg","726","1072","726","1072","213966","241964",""
